claim_id,claim_date,province,claim_types,claim_amount,claim_status
1,2025-01-01,Northern Cape,Business Insurance,17369,Pending
2,2025-01-02,KwaZulu-Natal,Business Insurance,4041,Pending
3,2025-01-03,Limpopo,Business Insurance,1105,Rejected
4,2025-01-04,Northern Cape,Motor Vehicle,10078,Approved
5,2025-01-05,Gauteng,Life Insurance,26003,Rejected
6,2025-01-06,North West,Motor Vehicle,7090,Approved
7,2025-01-07,Limpopo,Life Insurance,39850,Pending
8,2025-01-08,Limpopo,Motor Vehicle,2925,Pending
9,2025-01-09,Northern Cape,Motor Vehicle,19440,Pending
10,2025-01-10,Free State,Home Insurance,40685,Approved
11,2025-01-11,Gauteng,Motor Vehicle,27015,Pending
12,2025-01-12,Northern Cape,Health Insurance,34320,Approved
13,2025-01-13,Gauteng,Home Insurance,26291,Rejected
14,2025-01-14,Gauteng,Motor Vehicle,37679,Approved
15,2025-01-15,North West,Business Insurance,27289,Rejected
16,2025-01-16,Limpopo,Health Insurance,4389,Approved
17,2025-01-17,KwaZulu-Natal,Health Insurance,26683,Rejected
18,2025-01-18,North West,Health Insurance,14629,Pending
19,2025-01-19,North West,Home Insurance,25826,Rejected
20,2025-01-20,Gauteng,Motor Vehicle,36198,Pending
21,2025-01-21,Mpumalanga,Motor Vehicle,27630,Pending
22,2025-01-22,Limpopo,Business Insurance,34226,Rejected
23,2025-01-23,Free State,Business Insurance,47163,Approved
24,2025-01-24,North West,Health Insurance,33975,Approved
25,2025-01-25,KwaZulu-Natal,Business Insurance,1899,Approved
26,2025-01-26,Mpumalanga,Home Insurance,12653,Approved
27,2025-01-27,Mpumalanga,Motor Vehicle,28961,Approved
28,2025-01-28,Free State,Health Insurance,17405,Pending
29,2025-01-29,North West,Business Insurance,9601,Approved
30,2025-01-30,KwaZulu-Natal,Home Insurance,34662,Pending
31,2025-01-31,Limpopo,Home Insurance,34282,Pending
32,2025-02-01,Eastern Cape,Business Insurance,22288,Pending
33,2025-02-02,KwaZulu-Natal,Motor Vehicle,30545,Rejected
34,2025-02-03,Free State,Business Insurance,37877,Rejected
35,2025-02-04,Mpumalanga,Health Insurance,47026,Pending
36,2025-02-05,Limpopo,Business Insurance,16313,Rejected
37,2025-02-06,KwaZulu-Natal,Home Insurance,16349,Approved
38,2025-02-07,Eastern Cape,Business Insurance,8179,Approved
39,2025-02-08,Eastern Cape,Motor Vehicle,11326,Pending
40,2025-02-09,Gauteng,Life Insurance,45555,Approved
41,2025-02-10,Gauteng,Business Insurance,2560,Pending
42,2025-02-11,Northern Cape,Motor Vehicle,14612,Pending
43,2025-02-12,Free State,Motor Vehicle,18650,Approved
44,2025-02-13,North West,Home Insurance,27745,Rejected
45,2025-02-14,KwaZulu-Natal,Motor Vehicle,32890,Approved
46,2025-02-15,KwaZulu-Natal,Motor Vehicle,21022,Approved
47,2025-02-16,North West,Motor Vehicle,5780,Pending
48,2025-02-17,Northern Cape,Motor Vehicle,19311,Pending
49,2025-02-18,Mpumalanga,Health Insurance,29380,Pending
50,2025-02-19,Mpumalanga,Health Insurance,45662,Pending
51,2025-02-20,Northern Cape,Home Insurance,3356,Rejected
52,2025-02-21,Mpumalanga,Business Insurance,5790,Rejected
53,2025-02-22,Gauteng,Motor Vehicle,27911,Rejected
54,2025-02-23,KwaZulu-Natal,Business Insurance,25363,Pending
55,2025-02-24,Northern Cape,Business Insurance,21049,Pending
56,2025-02-25,KwaZulu-Natal,Home Insurance,11181,Pending
57,2025-02-26,North West,Motor Vehicle,40825,Rejected
58,2025-02-27,Eastern Cape,Motor Vehicle,17082,Pending
59,2025-02-28,Gauteng,Life Insurance,1661,Approved
60,2025-03-01,Limpopo,Business Insurance,38412,Approved
61,2025-03-02,Gauteng,Business Insurance,49479,Pending
