claim_id,claim_date,province,claim_types,claim_amount,claim_status
558,2025-01-01,Eastern Cape,Motor Vehicle,44526,Pending
734,2025-01-01,Eastern Cape,Motor Vehicle,21810,Approved
846,2025-01-01,Western Cape,Business Insurance,49516,Pending
475,2025-01-01,Eastern Cape,Home Insurance,21583,Pending
153,2025-01-02,Eastern Cape,Motor Vehicle,33793,Pending
55,2025-01-02,Northern Cape,Home Insurance,15562,Rejected
192,2025-01-02,North West,Home Insurance,45605,Rejected
661,2025-01-03,Free State,Motor Vehicle,19689,Rejected
717,2025-01-04,Eastern Cape,Home Insurance,11278,Approved
974,2025-01-04,Free State,Life Insurance,7773,Pending
101,2025-01-05,Northern Cape,Home Insurance,16493,Pending
306,2025-01-05,Northern Cape,Home Insurance,34396,Approved
623,2025-01-05,Limpopo,Home Insurance,29230,Pending
531,2025-01-05,North West,Home Insurance,5997,Rejected
764,2025-01-05,Mpumalanga,Motor Vehicle,25170,Pending
713,2025-01-06,Mpumalanga,Health Insurance,11409,Approved
937,2025-01-07,North West,Motor Vehicle,6552,Approved
660,2025-01-07,KwaZulu-Natal,Life Insurance,37963,Rejected
916,2025-01-08,Limpopo,Business Insurance,9328,Pending
647,2025-01-08,Northern Cape,Business Insurance,27990,Pending
512,2025-01-08,Free State,Life Insurance,8619,Pending
433,2025-01-09,Northern Cape,Business Insurance,21195,Pending
198,2025-01-09,Limpopo,Life Insurance,2932,Approved
740,2025-01-10,Mpumalanga,Health Insurance,27149,Rejected
528,2025-01-10,Limpopo,Life Insurance,28962,Rejected
818,2025-01-11,Eastern Cape,Health Insurance,26500,Rejected
507,2025-01-12,Gauteng,Home Insurance,40874,Approved
372,2025-01-12,Northern Cape,Home Insurance,16042,Pending
743,2025-01-13,Western Cape,Business Insurance,8610,Rejected
42,2025-01-14,Free State,Business Insurance,19156,Approved
788,2025-01-15,Free State,Health Insurance,48195,Rejected
666,2025-01-15,Western Cape,Motor Vehicle,43137,Pending
806,2025-01-15,Limpopo,Motor Vehicle,4278,Pending
76,2025-01-15,Northern Cape,Life Insurance,35832,Rejected
107,2025-01-15,Northern Cape,Health Insurance,41992,Approved
357,2025-01-16,Mpumalanga,Life Insurance,21700,Rejected
247,2025-01-17,KwaZulu-Natal,Motor Vehicle,6366,Pending
985,2025-01-17,KwaZulu-Natal,Health Insurance,44949,Pending
270,2025-01-18,KwaZulu-Natal,Home Insurance,4583,Pending
897,2025-01-18,Free State,Motor Vehicle,22113,Pending
403,2025-01-19,Mpumalanga,Business Insurance,23918,Approved
896,2025-01-19,Limpopo,Motor Vehicle,24501,Approved
287,2025-01-20,Gauteng,Life Insurance,38212,Approved
6,2025-01-21,North West,Business Insurance,17211,Approved
37,2025-01-21,Gauteng,Business Insurance,35773,Rejected
231,2025-01-22,Free State,Home Insurance,22642,Pending
26,2025-01-22,Limpopo,Motor Vehicle,14324,Rejected
776,2025-01-23,Free State,Life Insurance,20642,Approved
551,2025-01-23,Limpopo,Motor Vehicle,17835,Pending
349,2025-01-23,Free State,Home Insurance,8812,Pending
821,2025-01-23,Mpumalanga,Life Insurance,48963,Rejected
680,2025-01-25,Eastern Cape,Home Insurance,14318,Rejected
866,2025-01-25,Northern Cape,Home Insurance,39987,Approved
418,2025-01-25,KwaZulu-Natal,Motor Vehicle,20624,Rejected
645,2025-01-26,Eastern Cape,Home Insurance,30267,Approved
723,2025-01-26,North West,Home Insurance,39462,Pending
237,2025-01-27,North West,Business Insurance,1619,Rejected
989,2025-01-27,Limpopo,Home Insurance,24185,Rejected
669,2025-01-28,KwaZulu-Natal,Health Insurance,49442,Pending
92,2025-01-28,Northern Cape,Health Insurance,44111,Rejected
121,2025-01-28,North West,Life Insurance,29151,Rejected
653,2025-01-28,Western Cape,Motor Vehicle,35510,Approved
445,2025-01-29,Northern Cape,Business Insurance,4273,Rejected
1000,2025-01-29,Mpumalanga,Business Insurance,31835,Rejected
837,2025-01-29,Free State,Home Insurance,27489,Approved
976,2025-01-29,Eastern Cape,Home Insurance,30894,Pending
888,2025-02-01,Northern Cape,Life Insurance,5757,Approved
227,2025-02-02,Free State,Health Insurance,16449,Pending
95,2025-02-02,KwaZulu-Natal,Business Insurance,4866,Approved
563,2025-02-03,Western Cape,Life Insurance,22074,Rejected
690,2025-02-03,Northern Cape,Business Insurance,25351,Approved
984,2025-02-03,Limpopo,Health Insurance,4764,Rejected
376,2025-02-04,North West,Business Insurance,46095,Rejected
51,2025-02-04,Gauteng,Life Insurance,48591,Approved
116,2025-02-05,KwaZulu-Natal,Health Insurance,5426,Rejected
286,2025-02-05,Mpumalanga,Health Insurance,44896,Pending
196,2025-02-06,Free State,Business Insurance,32433,Pending
394,2025-02-06,North West,Health Insurance,38044,Approved
256,2025-02-06,Mpumalanga,Health Insurance,24360,Pending
232,2025-02-07,Eastern Cape,Business Insurance,42316,Rejected
423,2025-02-08,Gauteng,Life Insurance,14156,Approved
466,2025-02-08,Limpopo,Motor Vehicle,3800,Rejected
280,2025-02-08,Gauteng,Motor Vehicle,44463,Pending
782,2025-02-08,Western Cape,Life Insurance,19425,Pending
670,2025-02-08,Eastern Cape,Life Insurance,38525,Approved
710,2025-02-09,Western Cape,Life Insurance,5138,Approved
983,2025-02-10,Free State,Business Insurance,5234,Approved
74,2025-02-10,North West,Motor Vehicle,42346,Rejected
91,2025-02-10,Northern Cape,Motor Vehicle,11704,Pending
519,2025-02-10,Northern Cape,Motor Vehicle,19919,Approved
769,2025-02-11,Limpopo,Life Insurance,44803,Approved
425,2025-02-11,KwaZulu-Natal,Life Insurance,26711,Approved
981,2025-02-11,Western Cape,Home Insurance,30100,Pending
369,2025-02-12,Western Cape,Life Insurance,46026,Pending
609,2025-02-12,Free State,Health Insurance,30240,Approved
631,2025-02-15,KwaZulu-Natal,Home Insurance,6755,Approved
252,2025-02-15,Mpumalanga,Business Insurance,11717,Approved
636,2025-02-16,North West,Business Insurance,33182,Pending
338,2025-02-16,Mpumalanga,Life Insurance,47002,Rejected
497,2025-02-16,KwaZulu-Natal,Motor Vehicle,2538,Rejected
810,2025-02-16,Gauteng,Business Insurance,14261,Pending
310,2025-02-16,Gauteng,Life Insurance,21058,Rejected
96,2025-02-17,Mpumalanga,Motor Vehicle,33245,Pending
643,2025-02-17,Northern Cape,Health Insurance,3600,Rejected
245,2025-02-18,Mpumalanga,Business Insurance,25820,Approved
875,2025-02-18,Gauteng,Motor Vehicle,29246,Approved
923,2025-02-20,Eastern Cape,Motor Vehicle,38865,Approved
559,2025-02-20,Western Cape,Motor Vehicle,42334,Pending
836,2025-02-20,KwaZulu-Natal,Life Insurance,33828,Rejected
295,2025-02-20,Eastern Cape,Health Insurance,41695,Rejected
621,2025-02-20,Free State,Life Insurance,15256,Approved
605,2025-02-22,Limpopo,Motor Vehicle,38623,Rejected
159,2025-02-22,Mpumalanga,Home Insurance,23794,Approved
69,2025-02-22,Northern Cape,Health Insurance,40779,Pending
955,2025-02-22,Limpopo,Health Insurance,40082,Approved
305,2025-02-22,KwaZulu-Natal,Home Insurance,36219,Rejected
205,2025-02-23,North West,Health Insurance,44527,Pending
920,2025-02-23,North West,Motor Vehicle,37320,Rejected
573,2025-02-23,Western Cape,Business Insurance,49692,Pending
302,2025-02-23,Limpopo,Home Insurance,21208,Rejected
906,2025-02-24,Limpopo,Health Insurance,36062,Rejected
911,2025-02-24,North West,Health Insurance,45942,Pending
650,2025-02-25,Limpopo,Home Insurance,20233,Rejected
640,2025-02-25,KwaZulu-Natal,Life Insurance,31949,Approved
471,2025-02-27,Northern Cape,Life Insurance,34872,Approved
486,2025-02-27,Limpopo,Business Insurance,37432,Approved
321,2025-02-27,Mpumalanga,Health Insurance,47956,Approved
315,2025-02-27,KwaZulu-Natal,Business Insurance,5956,Approved
961,2025-02-28,Gauteng,Business Insurance,48897,Rejected
29,2025-02-28,North West,Home Insurance,25972,Rejected
620,2025-03-02,Gauteng,Business Insurance,45505,Pending
400,2025-03-03,Mpumalanga,Home Insurance,39213,Rejected
881,2025-03-04,Limpopo,Business Insurance,45278,Rejected
540,2025-03-04,Free State,Business Insurance,34767,Approved
82,2025-03-04,Northern Cape,Life Insurance,20643,Pending
872,2025-03-04,Free State,Business Insurance,47364,Pending
534,2025-03-06,Mpumalanga,Health Insurance,39055,Rejected
77,2025-03-06,Free State,Home Insurance,37021,Approved
682,2025-03-08,Limpopo,Life Insurance,1082,Pending
337,2025-03-10,North West,Business Insurance,3871,Pending
817,2025-03-10,Mpumalanga,Home Insurance,6103,Rejected
603,2025-03-10,Limpopo,Business Insurance,25703,Pending
415,2025-03-10,North West,Life Insurance,21466,Approved
458,2025-03-11,Northern Cape,Business Insurance,29483,Rejected
566,2025-03-13,Mpumalanga,Health Insurance,38327,Approved
5,2025-03-13,Northern Cape,Home Insurance,13820,Pending
634,2025-03-14,Northern Cape,Health Insurance,5117,Pending
